date,NO2
2023-10-01,3.9523343e-06
2023-10-02,3.9523343e-06
2023-10-03,3.6456365e-06
2023-10-04,3.338939e-06
2023-10-05,3.0099222e-06
2023-10-06,3.3529523e-06
2023-10-07,3.8150542e-06
2023-10-08,5.0256303e-06
2023-10-09,6.1866235e-06
2023-10-10,6.115772e-06
2023-10-11,4.6614805e-06
2023-10-12,3.5748185e-06
2023-10-13,1.9194933e-06
2023-10-14,7.77496e-07
2023-10-15,9.900926e-07
2023-10-16,1.6739332e-06
2023-10-17,2.2889867e-06
2023-10-18,3.143071e-06
2023-10-19,3.6323902e-06
2023-10-20,4.780737e-06
2023-10-21,5.866137e-06
2023-10-22,6.9515363e-06
2023-10-23,5.282987e-06
2023-10-24,4.8338416e-06
2023-10-25,4.6291993e-06
2023-10-26,5.449472e-06
2023-10-27,4.981933e-06
2023-10-28,4.5143956e-06
2023-10-29,3.6471863e-06
2023-10-30,2.838756e-06
2023-10-31,3.6106778e-06
2023-11-01,4.201404e-06
2023-11-02,3.3005363e-06
2023-11-03,3.0783501e-06
2023-11-04,2.937355e-06
2023-11-05,4.420717e-06
2023-11-06,4.3720156e-06
2023-11-07,4.6755335e-06
2023-11-08,5.144781e-06
2023-11-09,5.6860836e-06
2023-11-10,5.9947274e-06
2023-11-11,5.5187656e-06
2023-11-12,5.8294577e-06
2023-11-13,5.8324176e-06
2023-11-14,4.8113448e-06
2023-11-15,3.6612846e-06
2023-11-16,3.49987e-06
2023-11-17,4.368952e-06
2023-11-18,4.1841513e-06
2023-11-19,5.413341e-06
2023-11-20,4.69049e-06
2023-11-21,4.460825e-06
2023-11-22,4.0516766e-06
2023-11-23,3.8698977e-06
2023-11-24,4.0247055e-06
2023-11-25,3.2982925e-06
2023-11-26,4.32416e-06
2023-11-27,5.3500266e-06
2023-11-28,3.2850955e-06
2023-11-29,3.1265574e-06
2023-11-30,2.6339112e-06
2023-12-01,3.4044897e-06
2023-12-02,3.9346432e-06
2023-12-03,4.4234193e-06
2023-12-04,4.0933037e-06
2023-12-05,3.7891682e-06
2023-12-06,3.5193411e-06
2023-12-07,3.6221338e-06
2023-12-08,3.724927e-06
2023-12-09,3.82772e-06
2023-12-10,4.0519344e-06
2023-12-11,3.8293183e-06
2023-12-12,3.7513903e-06
2023-12-13,2.7060044e-06
2023-12-14,3.4991133e-06
2023-12-15,3.283856e-06
2023-12-16,3.3330384e-06
2023-12-17,3.0099236e-06
2023-12-18,2.9637229e-06
2023-12-19,3.5637768e-06
2023-12-20,4.163831e-06
2023-12-21,4.5082825e-06
2023-12-22,5.1641946e-06
2023-12-23,4.6671266e-06
2023-12-24,4.378889e-06
2023-12-25,4.56172e-06
2023-12-26,4.800022e-06
2023-12-27,5.0383255e-06
2023-12-28,5.7329676e-06
2023-12-29,5.029254e-06
2023-12-30,4.325541e-06
2023-12-31,4.8982324e-06
2024-01-02,6.41616e-06
2024-01-03,3.6184676e-06
2024-01-04,3.8695102e-06
2024-01-05,3.974199e-06
2024-01-06,5.3069534e-06
2024-01-07,6.523055e-06
2024-01-08,7.840423e-06
2024-01-09,6.446838e-06
2024-01-10,5.761616e-06
2024-01-11,5.1897136e-06
2024-01-12,5.404281e-06
2024-01-13,5.750129e-06
2024-01-14,6.0959774e-06
2024-01-15,6.0222637e-06
2024-01-16,5.9485487e-06
2024-01-17,5.8748346e-06
2024-01-18,5.5463747e-06
2024-01-19,5.2179143e-06
2024-01-20,5.203682e-06
2024-01-21,5.1894494e-06
2024-01-22,4.993677e-06
2024-01-24,4.7979056e-06
2024-01-25,4.8896645e-06
2024-01-26,5.127043e-06
2024-01-27,5.209057e-06
2024-01-28,5.291069e-06
2024-01-29,5.201557e-06
2024-01-30,4.686973e-06
2024-01-31,4.7507137e-06
2024-02-01,4.725454e-06
2024-02-02,4.7001936e-06
2024-02-03,4.4631206e-06
2024-02-04,3.4566888e-06
2024-02-05,3.3980346e-06
2024-02-06,3.5111289e-06
2024-02-07,3.6242227e-06
2024-02-08,3.737317e-06
2024-02-09,3.8504113e-06
2024-02-10,3.963505e-06
2024-02-11,3.42253e-06
2024-02-12,2.905154e-06
2024-02-13,2.746478e-06
2024-02-14,2.7779531e-06
2024-02-15,3.0215788e-06
2024-02-16,4.4736025e-06
2024-02-17,4.621051e-06
2024-02-18,4.7685e-06
2024-02-19,4.9283954e-06
2024-02-20,5.17444e-06
2024-02-21,5.1837487e-06
2024-02-22,5.193057e-06
2024-02-23,5.102399e-06
2024-02-24,5.0117405e-06
2024-02-25,4.6612204e-06
2024-02-26,4.4863714e-06
2024-02-27,4.878332e-06
2024-02-28,5.270292e-06
2024-02-29,3.9240317e-06
2024-03-01,3.1798206e-06
2024-03-02,2.8468592e-06
2024-03-03,2.5138975e-06
